State,Urban_Percentage,Pop2010_Sum,OHU2010_Sum,lapophalf_Sum,lalowihalf_Sum,lahunvhalf_Sum,lapop1_Sum,lalowi1_Sum,lahunv1_Sum,MedianFamilyIncome_Avg,lapophalfshare_Avg,lalowihalfshare_Avg,lahunvhalfshare_Avg,lapop1share_Avg,lalowi1share_Avg,lahunv1share_Avg
Kansas,66.31853785900783,2853118,1112096,2190503.0,658541.0,42872.0,1248091.0,357979.0,20480.0,71610.10052910053,77.20793692509855,24.803915900131404,4.1701314060446775,51.19749627421758,15.850655737704917,2.3247988077496275
Kentucky,50.27027027027027,4339367,1719965,3613932.0,1358734.0,98438.0,2531898.0,943326.0,58269.0,61575.997272727276,83.51069683257919,33.02933031674208,6.075945701357466,65.67585074626865,25.839691542288556,4.077900497512438
Louisiana,72.27635075287864,4533372,1728360,3533298.0,1395028.0,99428.0,2267782.0,876331.0,55146.0,61057.29364368845,76.44476234003658,32.22724862888483,6.945054844606947,56.27701675977654,23.179921787709496,4.435301339285714
Maine,30.1994301994302,1328361,557219,1095549.0,315156.0,25108.0,865037.0,240441.0,15667.0,68744.67236467237,82.92666666666666,25.28387931034483,4.5199425287356325,70.51030395136777,20.93498480243161,3.12483282674772
Maryland,84.96402877697842,5773552,2156411,4007560.0,790985.0,95697.0,2045346.0,333298.0,29043.0,100138.88816267248,71.01450226244343,14.716055806938162,4.9692539562923885,49.548338624338626,8.42315343915344,1.9910253699788583
Massachusetts,89.70688479890934,6547629,2547075,4343214.0,804271.0,119441.0,2352256.0,333689.0,36638.0,100561.49240331491,70.93665393430099,13.983399541634837,5.3681970970206265,50.720982236154654,7.56098223615465,2.109947807933194
Michigan,72.82293178519593,9883640,3872508,7623844.0,2334640.0,195986.0,4586209.0,1257689.0,84364.0,69298.43800738007,76.81017640573319,25.202087467842706,5.781753031973539,57.98674285714286,16.900095238095236,3.0236964795432923
Minnesota,67.99100449775113,5303925,2087227,4086380.0,918750.0,81617.0,2542048.0,523859.0,36969.0,85821.10708898945,77.53304247104246,18.27066409266409,4.119559845559846,57.83082644628099,12.616326905417814,2.237548209366391
Mississippi,49.92412746585736,2967297,1115768,2629199.0,1135990.0,61704.0,2037963.0,854012.0,42540.0,52971.84403669725,87.03763277693476,39.50690440060698,6.1385735963581185,66.51186915887851,29.089034267912773,4.12803738317757
Missouri,66.93026599568655,5988927,2375611,4704089.0,1515308.0,111091.0,2911826.0,898599.0,50627.0,67947.3502170767,77.5600652173913,26.27421014492754,5.273065217391304,55.70211423699915,17.807612958226766,2.716999147485081
Montana,40.59040590405904,989415,409607,748668.0,233706.0,12216.0,510680.0,150794.0,5984.0,66368.51672862454,76.63074349442378,24.621338289962825,2.9808550185873606,60.43544715447155,18.710365853658537,1.791219512195122
Nebraska,65.78947368421053,1826341,721130,1317439.0,363935.0,23564.0,681722.0,169161.0,8594.0,74635.61333333333,73.9107251908397,20.84950381679389,3.2250190839694657,51.04382629107981,12.888896713615024,1.4899295774647887
Nevada,89.55882352941177,2700551,1006250,1702391.0,512615.0,40612.0,748846.0,198838.0,11028.0,70147.49630723782,66.17778294573642,20.002,4.324480620155039,47.5585101010101,12.734292929292929,2.094217171717172
New Hampshire,52.73972602739726,1316470,518973,1117073.0,206135.0,18060.0,858581.0,143330.0,11251.0,91380.94158075601,85.05725694444445,16.34277777777778,3.522708333333333,69.44831501831501,12.0510989010989,2.320769230769231
New Jersey,92.5074925074925,8791894,3214360,5270456.0,921798.0,123334.0,2641433.0,402206.0,45141.0,99986.8777665996,67.21157290470723,12.427324913892079,4.449093516924843,47.754778325123155,7.704605911330049,2.2238442622950823
New Mexico,69.07630522088354,2059179,791395,1597065.0,647078.0,30559.0,1013212.0,409905.0,15813.0,60962.80452674897,77.70209677419355,31.343528225806452,4.166108870967742,60.30072463768116,24.388937198067634,2.831159420289855
New York,85.91375770020534,19378102,7317755,8204289.0,1936663.0,237812.0,4539897.0,1027781.0,94676.0,86280.34535542042,66.43977513227513,16.794652777777777,5.65370664023786,52.45762494050452,12.519466920514041,3.095350710900474
North Carolina,62.06896551724138,9535483,3745155,7898390.0,2813024.0,168561.0,5330388.0,1872217.0,93571.0,67983.92585727526,81.85725138121548,29.51174493554328,4.773213627992633,60.55030271934325,21.412452539763983,2.848665982555157
North Dakota,42.4390243902439,672591,281192,497244.0,127947.0,8365.0,295484.0,70648.0,3325.0,80721.69268292683,75.55448780487805,19.69429268292683,2.91009756097561,56.161837837837844,13.837081081081081,1.5881621621621622
Ohio,77.57390417940877,11536504,4603435,8921811.0,2697221.0,245317.0,5323159.0,1429544.0,111243.0,67608.12889955434,75.62729841488628,25.233756030323914,6.229634734665749,53.29679758308157,15.447803193785067,3.3321536469572726
Oklahoma,64.43594646271511,3751351,1460450,2968385.0,1086761.0,59477.0,1908973.0,658290.0,30643.0,63244.9083011583,79.00773820981712,30.163580365736284,4.407035611164581,61.76844233055886,22.266444708680144,2.813650416171225
Oregon,72.27602905569007,3831074,1518938,2538759.0,766560.0,50324.0,1291884.0,368685.0,17811.0,76343.50364963504,68.1658375,20.816675,3.4083125,47.45577669902913,13.897411003236247,1.6390453074433655
Pennsylvania,76.63551401869158,12702379,5018904,8993338.0,2308945.0,268047.0,5419652.0,1265323.0,114636.0,76673.99431997475,73.65530428999003,20.05497173262388,6.174655803126039,56.47398675496689,13.822935982339956,3.2858006175562418
Rhode Island,90.04149377593362,1052567,413600,727225.0,175836.0,21231.0,343253.0,60912.0,6419.0,82367.94117647059,70.59324675324676,17.502857142857142,5.323593073593074,46.266163522012576,8.416540880503145,2.2145911949685533
South Carolina,60.03666361136572,4625364,1801181,3963572.0,1465970.0,96101.0,2817258.0,1043424.0,60621.0,63527.84074074074,84.9668990825688,32.56562385321101,5.748715596330276,64.03430528375733,24.540939334637965,3.8242367906066534
South Dakota,41.891891891891895,814180,322282,644381.0,198587.0,11503.0,430467.0,126476.0,6116.0,70105.83105022831,79.69027149321266,25.020904977375565,3.6381900452488685,60.87432692307693,18.40706730769231,2.358798076923077
Tennessee,59.90597716588314,6346105,2493552,5367311.0,1923854.0,113919.0,3750042.0,1269324.0,63451.0,63720.76125511596,84.73242934051144,31.592826379542398,5.096911170928668,63.429883805374,22.203747276688453,2.9275399129172714
Texas,78.19778541428026,25145561,8922933,18569856.0,6414876.0,315211.0,9967980.0,3280345.0,135150.0,72368.97397339503,73.93653682170543,26.513118217054263,3.8705250920364267,50.52555610357583,17.347161528976574,2.145473372781065
Utah,85.12820512820512,2763885,877692,1976267.0,527408.0,20969.0,891441.0,218115.0,6625.0,79321.90222984563,71.71691507798961,19.586325823223568,2.3855979202772963,46.54746928746928,11.67982800982801,1.1107616707616708
Vermont,27.322404371584703,625741,256442,516438.0,136980.0,10643.0,402568.0,101082.0,6642.0,76336.6978021978,83.74469945355192,22.557814207650274,4.143934426229508,72.40087209302327,18.68872093023256,2.9223837209302324
Virginia,72.58748674443267,8001024,3056058,5901333.0,1500058.0,121603.0,3414621.0,866518.0,60095.0,92693.32616872649,74.657081754196,19.65406063887385,4.271548456957228,54.83824897400821,14.436114911080711,2.6244459644322844
Washington,77.57785467128028,6724540,2620076,4726080.0,1170239.0,76709.0,2594276.0,602304.0,27886.0,87236.6574009729,72.01384615384615,18.074869442484122,3.0698023994354267,50.490715547703175,11.87476148409894,1.4881007067137808
West Virginia,44.83471074380165,1852994,763831,1581105.0,607869.0,50921.0,1228503.0,463653.0,33739.0,57264.02291666667,83.71341614906832,33.49985507246377,7.194409937888199,68.15673378076063,26.50599552572707,4.839194630872483
Wisconsin,66.59482758620689,5686986,2279768,4349324.0,1127191.0,93641.0,2686562.0,611537.0,40393.0,73470.81548480463,77.13045185185186,21.387762962962963,4.562422222222222,57.71227189781022,13.91507299270073,2.2716879562043797
Wyoming,52.67175572519084,563626,226879,466540.0,126209.0,6452.0,319058.0,82997.0,3930.0,76571.96183206108,81.72786259541985,22.759770992366413,2.6993129770992366,58.470079365079364,15.618015873015873,1.7227777777777777
