County,Vehicle_Half_Percent,Population_Half_Percent,Low_Income_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Convenience stores, 2016","Fast-food restaurants, 2016",Fast Food,Soda ,"Grocery stores, 2016","Farmers' markets, 2018",Fruit ,Veggie,Obese,Food Desert Score,Food Swamp Score,Food Heaven Score
Modoc,0.8775552343588684,84.31757175304563,36.96056163534999,68.21185215775346,29.289696469130703,0.3613462729712988,20.6483584555027,30.9725376832541,55680.0,16170.000000000002,41.2967169110055,10.3241792277513,57.54,66.46,22.01,0.7694125822492607,-0.463370222607275,1.0302551417982644
Mono,0.7604562737642585,74.51063230530912,22.48979017039853,58.88607238417124,17.631319532460214,0.598507252499648,77.4538797352485,147.8664976763836,54000.0,7020.0,42.247570764681,14.082523588227,52.28,60.04,28.71,0.1743903379302757,1.2163425414157951,0.8082631721031793
Monterey,0.539925841510925,52.26366499059165,16.331491819195918,25.51649532473853,7.118299414297313,0.1968404339644916,29.6344839383506,63.605721623776894,62050.0,9030.0,26.9842455373599,2.8911691647171,53.51,56.11,30.13,-0.7906120581876411,-0.1575376094007122,-0.3508341454168284
Napa,0.9385715541748484,60.3140294833094,13.617713431611032,25.775182438967203,4.917792561765482,0.3267782304152867,32.2382110723601,60.080302453034705,54850.0,8930.0,29.3074646112364,4.3961196916854,58.49,58.28,26.36,-0.6214120417301187,-0.3599858549687807,0.1209474645141015
Nevada,0.8596249645619861,86.2328378761492,21.90778016281236,72.80081811186263,18.05921185857195,0.5832084565226197,36.450528532663704,65.8134542950872,46530.0,5720.0,25.312867036572,9.1126321331659,65.98,70.84,14.93,0.4107275760560105,-0.6282287760145473,1.1431874766506367
Orange,0.5530802941434414,44.2898753318681,9.494052285671003,8.838122775918933,1.1438653233372045,0.0863720802914858,21.825560289040798,100.49059341605559,67100.0,7210.0,16.4771353171449,0.7640607102707999,54.54,60.0,24.23,-1.251020714731187,0.1825767112394299,-0.5462639101483895
Placer,0.9559971529595443,73.54634476741516,13.953368232538915,41.9998737199798,7.345766175322588,0.4437020709923313,37.8840060614409,95.8580153372824,64790.00000000001,3770.0,18.368002938880398,5.4530008724801,59.03,64.09,28.02,-0.2831569106078207,0.1329652853189626,0.1643942680838012
Plumas,1.3795171689908532,73.3293347328435,19.21827360423852,56.05038236617184,12.875493577247962,0.8147148498025691,79.9720097965712,44.9842555105713,55680.0,16170.000000000002,44.9842555105713,4.9982506122857,57.54,66.46,22.01,0.2784557085701114,0.6175027937112197,0.7753476043455334
Riverside,0.8138320391333557,69.82213065977481,22.91156404177671,31.704420953023803,9.617923668765794,0.3100051560963646,20.8253316411229,70.3768334626543,73560.0,9440.0,15.9386858393681,1.0047309125103001,53.8,58.73,33.22,-0.2807855501384064,0.1201466948194154,-0.6249520699646722
Sacramento,1.0737333555118875,58.16020434342551,17.662822070668767,18.76051954203165,4.694147399047638,0.2381610219426722,27.0653543728872,75.7688957053485,62070.0,9310.0,19.3827407618333,1.9030327293436,51.67,60.72,29.51,-0.6070224545743864,-0.0435946566600747,-0.5188079046753461
