State,County,Urban_Percentage,Total_Population,Housing_Units,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018",Obese,Obese Low Income,Veggie,Veggie Low Income,Fruit ,Fruit Low Income,Fast Food,Fast Food Low Income,Soda ,Soda Low Income
CA,San Mateo,96.7948717948718,718451.0,257837.0,145145.7435897436,38.61655144192157,4.519306118301735,0.4666984943997572,11.805815567102002,1.169321220236314,0.1295843418688261,0.025332277357815635,0.02059987389536656,0.08253868391859709,0.003201331754009668,18.36,15.31,64.52,67.02,61.1,70.84,46.56,55.11,5.5,9.49
CA,Santa Barbara,85.39325842696628,423895.0,142104.0,88678.32183908045,54.28844407223487,15.330211491053207,0.6997015770414844,21.045070123497563,5.314995458781066,0.1814128498802769,0.028308897250498354,0.023354840231661143,0.08115217211809528,0.0030667972021373217,64.14,54.88,52.57,46.16,55.12,52.35,62.39,66.96,7.72,10.13
CA,Santa Clara,97.58064516129032,1781642.0,604204.0,135515.83557951482,44.40235468180476,7.1723163239303975,0.6252659063942139,9.435902386674764,1.0925876242252932,0.1008620138052425,0.01953254357497185,0.020430591555430328,0.08666163011424292,0.002188991952367535,49.32,56.83,64.65,64.66,58.14,65.48,54.88,54.89,5.36,9.86
CA,Santa Cruz,86.53846153846155,262382.0,94355.0,101837.6346153846,59.3825033729448,15.025802074837452,0.8510492335602291,30.374034804216755,6.890335465085258,0.349109313901106,0.027059783064387038,0.024773040833593767,0.06669664839813706,0.0038112370513221183,56.0,48.36,75.22,73.99,67.19,74.34,40.57,60.7,8.2,16.64
CA,Shasta,56.25,177223.0,70346.0,65307.395833333336,78.1642337619835,27.5415719178662,1.8112773172782315,50.14981125474685,16.493344543315484,0.8509053565282159,0.019749129627644267,0.05191199787837922,0.06883982327350288,0.007899651851057708,29.08,69.33,69.87,76.42,52.59,66.6,63.52,58.21,10.73,19.69
CA,Sierra,0.0,3240.0,1482.0,76875.0,100.0,29.41358024691358,1.882716049382716,100.0,29.41358024691358,1.882716049382716,0.030864197530864196,0.030864197530864196,0.030864197530864196,0.0,22.01,28.25,66.46,63.75,57.54,70.27,55.68,48.93,16.17,14.58
CA,Siskiyou,21.428571428571427,44900.0,19505.0,50922.357142857145,81.07126948775056,33.20935412026726,2.048997772828508,61.71269487750557,24.47216035634744,1.2583518930957684,0.042316258351893093,0.05790645879732739,0.062360801781737196,0.015590200445434299,22.01,28.25,66.46,63.75,57.54,70.27,55.68,48.93,16.17,14.58
CA,Solano,93.75,413344.0,141758.0,86521.76595744681,59.26274483239142,12.485726174808391,0.7265135093287916,25.798850352248976,4.492625996748472,0.215317024076798,0.017418905318572424,0.027338004180537275,0.07015947975536115,0.0012096462026786406,27.8,38.36,61.35,46.57,50.53,33.47,69.78,59.4,14.46,22.11
CA,Sonoma,77.77777777777779,483878.0,185825.0,94411.55555555556,56.91889277875828,12.156989985078884,0.8458743732924415,25.85403758798705,5.112445699122506,0.3091688400795241,0.0289329128416667,0.02975956749428575,0.060139125978035786,0.005166591578869054,26.2,30.64,69.94,59.81,58.34,66.16,52.0,54.06,5.9,10.28
CA,Stanislaus,87.2340425531915,514453.0,165180.0,63055.44680851064,54.709370924068864,19.91882640396693,0.983180193331558,17.2412251459317,5.841933082322389,0.2388945151452124,0.02546393936861093,0.03148975708179367,0.07114352525886719,0.0023325745986513833,34.26,38.8,54.16,49.38,47.77,36.73,69.28,70.67,15.13,19.72
CA,Sutter,76.19047619047619,94737.0,31437.0,65823.0,73.0569893494622,25.96134561997952,1.062942672873323,42.205262991228345,13.759143734760444,0.5024436070384327,0.022166629722283795,0.042222151851969134,0.06227767398165447,0.002111107592598457,40.19,37.67,59.67,45.56,44.84,37.37,61.28,70.51,13.93,19.36
CA,Tehama,36.36363636363637,63463.0,23767.0,54655.63636363636,84.68241337472227,37.86300679135874,2.150859555961741,64.75899342924224,26.41696736681216,1.25584986527583,0.01575721286418858,0.047271638592565744,0.05199880245182232,0.006302885145675433,37.75,39.15,51.18,49.98,51.16,47.33,70.45,67.69,21.31,26.97
CA,Trinity,0.0,13786.0,6083.0,49559.0,90.75148701581315,38.18366458726244,2.0890758740751485,76.16422457565646,32.090526621209925,1.610329319599594,0.06528362106484839,0.05802988539097635,0.04352241404323227,0.014507471347744088,22.01,28.25,51.18,49.98,51.16,47.33,70.45,67.69,21.31,26.97
CA,Tulare,75.64102564102564,442179.0,130352.0,51671.81818181818,61.60876025320062,30.32346628853925,0.9073248616510508,27.75504942568508,14.107635143233848,0.3154830962121674,0.026912178099819304,0.035505982871190174,0.059704327885313414,0.0024876803285547255,40.13,41.99,51.18,49.98,51.16,47.33,70.45,67.69,21.31,26.97
CA,Tuolumne,36.36363636363637,55365.0,22156.0,68232.8,90.51025015804208,25.47457780186038,1.417863271019597,78.473765013998,21.7502031969656,1.07649236882507,0.028899123995303894,0.04515488124266233,0.046961076492368824,0.007224780998825973,28.71,34.18,60.04,52.53,52.28,55.99,54.0,54.74,7.02,16.76
CA,Ventura,88.4393063583815,823318.0,266920.0,99331.93023255814,52.72616413099192,10.745787168505974,0.6285542159894476,19.308213837180773,3.154674135631676,0.1701651123867084,0.02028377856429715,0.023927571120757715,0.07700548269319996,0.0012145975188201886,26.34,30.98,64.38,62.72,66.32,60.46,65.88,73.77,11.63,17.92
CA,Yolo,90.2439024390244,200849.0,70872.0,96028.34146341465,47.046288505295024,12.403347788637236,0.8264915433982744,16.639365891789353,3.7670090465971953,0.1628088763200215,0.021907004764773537,0.02788164242789359,0.07567874373285403,0.0029873188315600275,22.51,31.91,60.12,46.86,56.44,61.51,53.42,64.59,3.89,10.69
CA,Yuba,57.14285714285714,72155.0,24307.0,55805.92857142857,81.68526089668076,30.33746795093895,1.5937911440648604,59.2931882752408,20.83985863765505,0.8855935139629962,0.013859053426650959,0.03187582288129721,0.040191254937287785,0.004157716027995288,,,,,,,,,,
