State,Urban_Percentage,Total_Population,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent,"Convenience stores, 2016","Farmers' markets, 2018","Fast-food restaurants, 2016","Grocery stores, 2016",Mean_Fruit_Consump_Pct,Mean_Veggie_Consump_Pct,Mean_Obesity_Pct
MN,67.99100449775113,5303925.0,85821.10708898945,77.04445292872731,17.322077518064454,1.538803810385705,47.92767620205791,9.876817639766776,0.697012118384027,2011.0,196.0,3510.0,946.0,36.86296296296296,23.68148148148148,30.87777777777778
MS,49.92412746585736,2967297.0,52971.84403669725,88.60585913712042,38.28366354968849,2.079468283761282,68.68078928398472,28.780806235439183,1.4336279785946604,2069.0,82.0,2221.0,437.0,47.65909090909091,23.30909090909091,41.095454545454544
MO,66.93026599568655,5988927.0,67947.3502170767,78.54644078981093,25.301827856642767,1.85493995835982,48.62016184201276,15.004340510411964,0.8453434146049867,2645.0,256.0,4153.0,1061.0,42.236,20.4,36.152
MT,40.59040590405904,989415.0,66368.51672862454,75.6677430602932,23.62062430830339,1.234668971058656,51.614337765245125,15.240723053521526,0.6048018273424195,426.0,70.0,705.0,252.0,41.90416666666667,17.662499999999998,29.575
NE,65.78947368421053,1826341.0,74635.61333333333,72.1354336347922,19.92700158404153,1.290230028236786,37.327202313259136,9.262290010463545,0.4705583458948794,832.0,103.0,1367.0,420.0,40.1576923076923,23.12692307692308,33.87307692307692
NV,89.55882352941177,2700551.0,70147.49630723782,63.038653963580025,18.98186703380162,1.5038412531368597,27.729378189858288,7.362867799941568,0.4083611085293335,1006.0,39.0,2439.0,313.0,44.144,25.856,30.856
NH,52.73972602739726,1316470.0,91380.941580756,84.85366168617591,15.65816159882109,1.3718504789322965,65.2184250305742,10.887449011371318,0.8546339833038352,693.0,96.0,1008.0,241.0,37.309090909090905,17.345454545454547,32.69130434782608
NJ,92.5074925074925,8791894.0,99986.8777665996,59.94676459930022,10.48463505133251,1.4028149110987918,30.04395867375107,4.57473668358604,0.5134388562919434,2389.0,150.0,6802.0,2558.0,,,
NM,69.07630522088354,2059179.0,60962.80452674897,77.5583375704589,31.42407726574524,1.4840380559436552,49.20465874991927,19.90623447500193,0.7679274118471487,812.0,70.0,1459.0,255.0,43.888000000000005,24.136,32.224000000000004
NY,85.91375770020534,19378102.0,86280.34535542042,42.33793897875034,9.99407991556655,1.2272202922659814,23.427975557152088,5.303826969225366,0.4885721006112982,5979.0,673.0,16955.0,10458.0,35.57037037037037,23.711111111111112,27.61851851851852
NC,62.06896551724138,9535483.0,67983.92585727526,82.831567105725,29.50059268104196,1.7677237744537957,55.90055585018609,19.63421255116285,0.9812927148000788,4865.0,253.0,7688.0,1923.0,38.99230769230769,18.53076923076923,34.746153846153845
ND,42.4390243902439,672591.0,80721.69268292683,73.92962439283309,19.02300209191024,1.2436978788000437,43.93219653548739,10.503857470587622,0.4943568974309796,359.0,65.0,475.0,184.0,40.37083333333333,23.21666666666667,35.15416666666667
OH,77.57390417940877,11536504.0,67608.12889955434,77.33548222234397,23.379881808215035,2.1264414245424783,46.1418727891916,12.391483589829292,0.9642695915504386,4670.0,335.0,9297.0,2043.0,42.66153846153846,21.81153846153846,35.09230769230769
OK,64.43594646271511,3751351.0,63244.9083011583,79.12842599906007,28.96985645971278,1.585482136968788,50.88761355575632,17.548078012428057,0.8168523819818514,1831.0,71.0,2771.0,612.0,49.144,23.128,37.06923076923077
OR,72.27602905569007,3831074.0,76343.50364963504,66.26755317177377,20.009010528118225,1.3135742092165277,33.721196719248965,9.623541596951664,0.464908795810261,1499.0,167.0,2932.0,741.0,37.77307692307692,17.957692307692305,29.565384615384616
PA,76.63551401869158,12702379.0,76673.99431997475,70.8004225035326,18.17726427466855,2.110211008504785,42.66643279971413,9.961307248035975,0.9024766148136504,4353.0,307.0,9208.0,2653.0,38.916,21.976,32.944
RI,90.04149377593362,1052567.0,82367.94117647059,69.09061370915106,16.70544487904333,2.017068747167639,32.611035687039404,5.786995032145223,0.6098424138320886,366.0,36.0,842.0,205.0,36.76923076923077,21.588461538461537,30.75769230769231
SC,60.03666361136572,4625364.0,63527.84074074074,85.6921098534083,31.694154233050632,2.077695939173652,60.90889279200513,22.558743484837084,1.310621174895641,2861.0,135.0,3488.0,848.0,42.876000000000005,19.945833333333333,35.824
SD,41.891891891891895,814180.0,70105.83105022831,79.14478370876219,24.391043749539413,1.4128325431722717,52.87123240561056,15.53415706600506,0.7511852415927681,531.0,41.0,555.0,188.0,39.61666666666667,18.370833333333334,34.608333333333334
TN,59.90597716588314,6346105.0,63720.76125511596,84.57646067942463,30.31550848906534,1.7951010895659625,59.092025738622354,20.00162304279554,0.9998416351447068,3639.0,131.0,4930.0,1072.0,43.448,20.528,36.092
TX,78.19778541428026,25145561.0,72368.97397339503,73.84944006618106,25.5109679199442,1.2535453076588745,39.64111200382445,13.045423802634588,0.5374706096237026,12620.0,218.0,20173.0,3457.0,40.41851851851852,23.55925925925926,32.84444444444444
UT,85.12820512820512,2763885.0,79321.90222984563,71.50322824574829,19.0821253416839,0.7586784544219459,32.253187089911485,7.891609093721338,0.2396988297269966,823.0,45.0,2323.0,376.0,37.45384615384615,24.01923076923077,29.42692307692308
VT,27.322404371584703,625741.0,76336.6978021978,82.53222978836293,21.890846212730185,1.7008634562862268,64.33460489243953,16.15396785571027,1.061461531208599,471.0,91.0,395.0,213.0,33.44166666666667,14.620833333333332,26.875
VA,72.58748674443267,8001024.0,92693.32616872647,73.75722157563833,18.74832521437256,1.519842960101107,42.67729980562488,10.830088748640174,0.7510913603058809,3895.0,259.0,6376.0,1504.0,38.23461538461539,19.96,32.284615384615385
WA,77.57785467128028,6724540.0,87236.6574009729,70.28108985893459,17.4025137778941,1.14073230287871,38.57923367248912,8.956805967397026,0.4146900754549754,2247.0,170.0,4844.0,1565.0,37.714814814814815,21.1925925925926,28.848148148148148
WV,44.83471074380165,1852994.0,57264.02291666667,85.32704369253219,32.80469337731261,2.748039119392723,66.29827187783663,25.02182953641512,1.8207830138683667,1012.0,94.0,1203.0,328.0,46.891304347826086,20.09130434782609,40.595652173913045
WI,66.59482758620689,5686986.0,73470.81548480463,76.47854241244835,19.820534110687102,1.6465839725998972,47.24052424254253,10.753270713168629,0.7102707831529742,2436.0,309.0,3637.0,1028.0,41.22,25.896,36.02
WY,52.67175572519084,563626.0,76571.96183206108,82.77474779374975,22.39233108479737,1.1447307256939887,56.60810537484077,14.7255449535685,0.697270885303375,274.0,49.0,379.0,98.0,42.8,20.226086956521737,30.008333333333336
GU,,,,,,,,,,,,,,48.276,26.912,32.9
PR,,,,,,,,,,,,,,53.142857142857146,43.19047619047619,31.94761904761905
US,,,,,,,,,,,,,,39.45357142857143,22.164285714285715,32.017857142857146
